Id,Name,Positions,Value,Height,Age,Preferred Foot,Right Foot,Left Foot,Personality,Acc,Wor,Vis,Thr,Pun,Tec,Tea,Tck,Str,Sta,Rus,Ref,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer
1,Hernan Perez,AMR||AML,11000000.0,180,29,3,5,2,18,14,17,12,2,3,14,14,9,11,14,3,3,9,8,14,15,3,14,12,8,7,11,8,1,10,9,1,9,13,13,11,3,14,16,12,13,9,11,13,3,3,14,12,12,15,14,1
2,Gael Kakuta,AMR||AML,11000000.0,173,27,1,2,5,5,15,10,13,3,1,15,11,4,10,12,2,1,5,13,14,13,3,14,13,4,5,14,8,1,7,7,2,14,17,15,12,1,15,14,11,15,14,11,13,1,1,11,14,13,16,8,3
3,Galeno,AMR||AML,7000000.0,182,20,3,5,2,18,17,12,10,1,3,13,9,5,11,12,1,1,4,11,10,16,1,15,15,4,4,13,4,4,12,7,3,12,16,13,13,2,14,17,9,12,12,8,9,2,1,11,14,12,16,12,2
4,Tony Nwakaeme,AMR||AML||STC,4200000.0,185,29,3,5,2,1,15,7,13,1,2,15,8,7,15,11,2,3,5,11,14,13,2,12,12,5,9,13,9,3,11,11,2,8,17,15,13,2,15,11,11,13,8,9,13,1,4,10,16,12,13,11,3
5,Junior Fernandes,AMR||AML||STC,4200000.0,184,29,3,5,2,1,16,7,12,2,3,14,10,6,13,9,1,2,5,10,13,14,3,15,10,5,14,12,3,3,12,12,3,8,14,15,13,4,15,12,12,12,9,12,14,3,3,16,12,8,15,12,4
6,Chadrac Akolo,AMR||AML,7000000.0,172,23,3,5,4,8,15,15,12,3,1,14,13,7,9,12,2,1,6,11,11,14,2,14,14,5,6,12,7,2,8,10,3,9,17,15,13,2,13,10,9,10,8,10,10,1,2,12,13,11,17,15,2
7,Mijat Gacinovic,MC||AML,7000000.0,175,23,3,5,2,8,16,15,12,3,4,13,12,9,6,14,3,3,10,10,12,14,3,14,12,7,6,11,10,4,8,9,1,10,15,15,11,1,15,13,9,12,10,12,9,3,3,8,8,11,17,15,3
8,Genki Haraguchi,AMR||AML,7000000.0,177,27,3,5,4,8,17,16,9,1,3,13,12,10,8,14,1,3,8,9,11,16,3,13,13,8,6,10,5,2,8,8,1,9,14,13,9,3,14,11,8,10,11,11,8,4,3,12,10,10,15,16,1
9,Ibrahima Traore,AMR||AML,8000000.0,172,30,1,2,5,5,18,16,9,1,1,13,13,10,6,13,3,1,10,9,12,15,2,12,12,8,8,12,7,2,6,6,1,10,16,13,9,1,15,13,8,14,12,12,8,2,4,10,7,10,17,13,3
10,Denis Cheryshev,AML,10500000.0,179,27,1,2,5,1,15,15,11,2,3,13,12,12,11,15,3,3,7,12,11,15,2,16,12,8,8,13,9,2,11,11,3,10,13,14,12,1,14,12,11,12,12,12,11,2,2,14,13,12,13,15,1
