Id,Name,Positions,Value,Height,Age,Preferred Foot,Right Foot,Left Foot,Personality,Acc,Wor,Vis,Thr,Pun,Tec,Tea,Tck,Str,Sta,Rus,Ref,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer
626,Malang Sarr,DL||DC,2300000.0,182,19,1,2,5,18,13,15,12,3,3,13,13,13,12,15,3,2,11,9,12,14,2,10,14,11,8,7,8,2,10,12,1,7,12,13,7,3,12,15,12,11,6,13,13,2,2,14,14,11,14,12,3
627,Leo Lacroix,DC,2300000.0,197,26,3,5,2,7,10,10,7,3,1,9,13,15,17,12,1,3,14,5,9,15,2,5,12,13,10,7,10,3,18,12,1,5,4,8,6,3,7,11,11,5,4,12,12,3,1,16,18,10,10,6,3
628,Jules Kounde,DC,2300000.0,178,19,3,5,2,1,13,11,12,1,3,10,13,13,12,12,3,2,13,8,12,13,2,9,16,14,4,5,14,1,14,14,1,2,6,10,9,1,7,14,12,6,4,11,13,1,3,14,14,13,13,13,3
629,Junior Alonso,DL||DC,2300000.0,180,25,1,4,5,1,12,14,11,3,3,7,13,14,15,14,3,3,13,4,8,13,1,8,14,13,14,12,11,3,14,11,2,12,6,8,7,3,7,11,12,12,10,11,8,1,4,15,14,14,9,14,3
630,Vukasin Jovanovic,DC,2300000.0,188,22,3,5,2,5,13,13,9,2,1,11,12,13,13,14,2,2,12,9,13,13,2,9,12,14,9,8,11,1,13,13,2,8,8,11,6,1,10,14,12,4,4,12,13,3,2,14,12,12,12,13,1
631,Stoppila Sunzu,DC,2300000.0,189,29,3,5,1,1,12,14,8,1,1,11,13,14,15,14,1,3,12,6,9,13,2,8,15,15,7,8,13,3,15,15,2,4,8,11,7,3,8,14,10,8,4,11,10,3,2,16,13,13,11,15,3
632,Ismael Traore,DC,"40,999,999,999,999,900",185,31,3,5,1,7,15,13,12,1,3,9,13,14,15,14,2,3,13,6,11,13,1,12,15,14,7,7,14,1,14,14,1,6,8,10,6,3,8,14,12,10,4,12,11,1,3,14,15,13,12,13,2
633,Andreu Fontas,DC||DM,2700000.0,186,28,2,1,5,1,11,13,13,1,3,14,14,16,17,14,2,2,14,11,17,13,3,7,11,13,10,11,12,4,13,12,4,8,9,14,8,1,9,12,14,11,7,15,15,1,3,13,8,14,10,13,1
634,Bakary Kone,DC,2000000.0,188,30,4,5,1,5,12,14,7,1,1,11,13,17,15,13,2,2,14,10,12,12,2,8,12,13,7,7,9,2,16,15,2,7,7,11,6,1,8,14,10,6,4,12,10,3,2,15,10,14,13,14,3
635,German Mera,DC,1600000.0,187,28,2,1,5,1,12,13,11,1,3,9,14,12,15,11,2,2,13,5,10,11,1,11,18,13,7,10,10,3,16,13,3,10,2,10,7,2,7,12,12,9,8,12,12,2,1,12,15,12,11,10,2
636,Jhon Lucumi,DL||DC,1600000.0,187,20,1,1,5,1,14,10,8,2,2,11,11,11,14,13,3,1,11,6,13,15,4,6,13,11,12,9,9,1,13,13,3,9,1,11,6,1,9,12,12,9,6,12,11,2,2,14,14,11,9,9,4
637,Sebastiaan Bornauw,DC,1600000.0,188,19,4,5,1,6,13,14,10,3,1,11,14,12,13,12,3,1,13,5,13,13,1,9,17,14,8,8,8,3,16,12,3,8,11,11,7,1,6,15,11,7,6,12,11,4,1,11,10,12,10,11,1
638,Saulo Decarli,DC,1600000.0,188,26,3,5,2,15,12,14,8,1,4,10,13,16,13,13,2,2,12,6,11,14,3,5,12,15,12,8,10,3,14,12,1,5,5,10,5,3,8,16,12,9,4,13,9,3,1,16,15,14,11,14,3
639,Sebastien Dewaest,DC,1600000.0,188,27,3,5,2,6,12,16,10,2,2,9,16,12,17,14,3,1,9,6,10,13,1,7,7,13,9,10,9,2,15,14,2,6,10,8,8,1,8,16,12,9,5,15,10,2,4,12,16,12,11,16,2
640,Wallace Reis,DC,2000000.0,184,30,3,5,2,6,11,14,9,3,1,9,13,14,14,12,4,2,14,11,12,13,2,12,14,12,8,8,16,3,13,14,1,7,14,11,7,3,8,15,12,6,2,9,9,3,3,13,14,13,12,10,2
641,Ibrahim Amadou,DC||DM||MC,950000.0,184,25,3,5,1,1,12,16,12,1,1,12,14,14,16,14,2,1,15,8,12,12,2,11,15,13,7,11,14,2,12,14,1,6,8,12,6,1,9,14,13,11,4,14,13,3,3,15,15,13,12,14,1
642,Robert Bauer,DR||DL||DC||DM,2500000.0,183,23,3,5,4,8,11,15,8,1,1,10,14,15,13,16,3,2,12,8,12,14,2,8,17,14,16,11,10,3,12,10,3,6,7,10,7,3,7,14,10,9,6,11,10,2,2,16,15,13,10,15,2
643,Henrique,DC,10000000.0,186,31,3,5,2,1,12,14,11,1,3,13,13,14,14,13,3,4,13,13,14,11,2,9,17,14,8,12,15,3,13,13,3,12,12,12,9,3,8,14,14,10,3,13,14,2,3,15,14,14,12,13,3
