Id,Name,Positions,Value,Height,Age,Preferred Foot,Right Foot,Left Foot,Personality,Acc,Wor,Vis,Thr,Pun,Tec,Tea,Tck,Str,Sta,Rus,Ref,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer
11,Anthony Limbombe,DL||AMR||AML,1000000.0,177,24,3,5,4,0,16,11,7,1,3,14,10,8,7,11,3,1,8,9,12,16,1,14,15,10,7,10,8,2,8,4,3,10,12,14,7,3,14,6,12,12,7,12,11,2,3,15,6,10,12,11,2
25,Everton,DL||AMR||AML,12000000.0,174,29,1,2,5,0,16,12,12,1,3,14,12,7,9,9,2,3,5,13,13,17,1,12,13,9,6,10,5,3,7,4,2,7,14,10,10,3,14,15,11,12,9,10,10,3,1,11,9,11,17,9,1
120,Juankar,DL||AML,5000000.0,179,28,1,1,5,1,14,12,9,2,1,13,10,13,12,15,1,2,13,10,12,14,2,14,14,13,6,11,6,3,10,7,2,9,13,13,9,2,13,13,9,15,12,9,14,4,1,10,12,11,15,15,3
148,Alex Moreno,DL||AML,3800000.0,179,25,1,1,5,1,14,11,11,2,3,15,11,7,12,13,2,3,9,10,12,15,3,14,14,5,8,10,9,2,9,7,1,8,15,13,10,1,16,12,11,12,10,12,11,3,1,13,12,12,16,9,2
248,Robbie Brady,DL||AML,5000000.0,176,26,1,2,5,6,14,16,12,2,1,13,14,11,12,14,3,1,12,13,12,13,4,12,13,10,6,13,9,3,8,7,1,14,12,13,11,1,13,16,11,16,14,12,13,3,1,13,13,12,13,14,3
250,Ryan Sessegnon,DL||AML,5000000.0,178,18,1,1,5,1,15,12,14,2,4,14,14,9,8,16,2,1,9,8,12,15,1,15,17,9,6,12,7,1,8,7,2,9,14,11,13,3,13,13,12,11,7,12,14,1,3,7,13,13,15,4,3
286,Marcos Acuna,DL||AML,5000000.0,172,26,2,1,5,19,13,15,14,1,2,15,14,15,12,14,2,1,12,9,14,14,3,14,13,11,10,14,10,1,7,7,4,15,16,14,10,2,14,15,13,15,15,14,14,2,3,13,15,12,13,15,1
309,Frank Acheampong,DL||AML,4600000.0,168,24,2,1,5,1,18,12,5,3,2,13,11,9,10,14,3,2,6,14,13,18,2,14,13,8,5,12,4,3,6,7,3,8,11,12,12,2,14,11,12,9,8,11,13,1,1,15,10,9,10,8,1
350,Fabian Johnson,DR||DL||AML,13000000.0,183,30,0,3,5,8,14,16,10,3,2,11,12,10,9,14,3,2,8,9,10,17,3,14,17,9,16,11,8,3,11,8,2,10,11,12,11,3,12,13,9,13,10,12,10,1,3,13,11,10,13,16,3
353,Senad Lulic,DL||MC||AML,20000000.0,183,32,3,5,4,16,13,16,10,1,2,12,17,13,13,13,1,1,13,12,12,13,2,17,17,12,2,11,18,2,10,12,1,4,13,12,13,1,14,17,12,14,12,12,12,2,3,15,13,16,12,15,1
382,Alfonso Pedraza,DL||AML,13000000.0,184,22,1,1,5,9,14,15,14,1,3,14,13,9,12,14,1,1,12,11,14,13,3,16,14,10,13,13,9,2,10,11,3,9,12,13,12,3,13,11,13,14,12,13,12,2,3,12,13,14,13,16,2
