Id,Name,Positions,Value,Height,Age,Preferred Foot,Right Foot,Left Foot,Personality,Acc,Wor,Vis,Thr,Pun,Tec,Tea,Tck,Str,Sta,Rus,Ref,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer
156,Todd Kane,DR||AMR||AML,775000.0,180,24,3,5,2,1,13,16,9,3,1,11,13,12,11,16,2,4,11,7,13,13,2,11,15,12,8,9,10,2,11,8,2,9,9,10,9,3,9,14,9,12,7,11,10,3,1,14,12,10,12,13,1
350,Fabian Johnson,DR||DL||AML,13000000.0,183,30,0,3,5,8,14,16,10,3,2,11,12,10,9,14,3,2,8,9,10,17,3,14,17,9,16,11,8,3,11,8,2,10,11,12,11,3,12,13,9,13,10,12,10,1,3,13,11,10,13,16,3
426,Ricardo Esgaio,DR||DL||AMR,6000000.0,173,25,3,5,2,18,13,14,11,2,3,13,12,15,8,14,2,1,12,14,13,13,3,13,15,11,11,11,9,3,7,7,1,10,12,12,10,1,12,15,13,14,12,12,12,1,1,11,13,12,13,13,3
449,Ahmed Elmohamady,DR||AMR,3200000.0,182,30,4,5,1,1,13,15,13,3,1,13,13,13,11,14,2,1,10,9,12,13,3,11,16,10,12,9,8,1,13,12,2,8,11,13,10,2,13,8,12,16,12,10,12,2,3,10,11,12,13,13,4
462,Thomas Foket,DR||AMR,2500000.0,178,23,3,5,1,1,14,14,12,3,3,12,15,12,10,12,2,3,8,8,10,14,3,10,10,12,8,9,8,1,8,8,2,9,12,12,8,2,11,14,12,14,11,14,11,3,3,14,12,10,12,8,1
473,Khaled Narey,DR||AMR,2200000.0,180,24,3,5,4,0,14,16,8,3,3,10,10,12,13,13,1,3,9,8,9,15,2,15,16,9,14,13,10,3,11,8,3,7,13,10,9,3,11,15,8,12,7,10,8,2,2,15,16,9,13,16,2
483,Clinton Mata,DR||AMR,1300000.0,180,25,4,5,1,6,14,11,8,1,2,12,12,10,10,16,3,2,10,10,12,15,3,8,11,9,11,9,8,3,10,5,2,8,14,11,8,2,12,15,11,12,7,14,11,2,2,14,12,10,10,14,1
505,Marko Vesovic,DR||AMR,3400000.0,177,26,4,5,0,6,15,18,9,4,1,13,12,11,12,15,2,3,10,10,11,15,3,13,16,10,12,9,11,2,9,9,2,7,12,12,9,2,11,17,10,12,8,9,10,1,2,12,11,11,14,16,2
521,Juan Cuadrado,DR||AMR,52000000.0,179,30,3,5,2,19,18,14,12,4,2,14,9,13,8,15,1,2,11,9,14,18,2,16,13,10,2,13,4,1,7,10,2,10,15,16,11,3,16,15,10,14,11,10,11,3,3,12,10,14,17,16,3
535,Ricardo Pereira,DR||AMR,25500000.0,175,24,3,5,2,18,16,14,12,4,1,15,13,14,9,14,1,2,10,12,12,15,3,14,15,12,7,12,7,1,9,6,3,8,15,13,10,2,14,15,13,14,9,12,12,1,3,13,10,14,15,11,2
