Id,Name,Positions,Value,Height,Age,Preferred Foot,Right Foot,Left Foot,Personality,Acc,Wor,Vis,Thr,Pun,Tec,Tea,Tck,Str,Sta,Rus,Ref,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer
7,Mijat Gacinovic,MC||AML,7000000.0,175,23,3,5,2,8,16,15,12,3,4,13,12,9,6,14,3,3,10,10,12,14,3,14,12,7,6,11,10,4,8,9,1,10,15,15,11,1,15,13,9,12,10,12,9,3,3,8,8,11,17,15,3
20,Edwin Cardona,MC||AML,5000000.0,182,25,3,5,2,1,11,8,15,2,2,17,14,9,14,13,1,2,10,15,15,11,3,15,12,8,6,17,10,1,12,8,4,15,17,15,14,2,15,13,14,14,15,11,8,1,3,13,14,14,12,12,2
29,Neeskens Kebano,MC||AMR||AML||STC,2200000.0,172,26,4,5,1,6,15,11,11,2,1,15,12,4,10,12,3,1,7,8,13,14,1,11,12,7,5,13,5,1,6,8,1,14,16,13,8,3,15,16,13,10,6,11,12,1,2,14,10,12,14,12,4
34,Nicolas Lodeiro,MC||AMR||AML,5000000.0,171,29,1,4,5,9,13,16,14,3,2,13,14,7,12,16,3,3,4,12,13,12,1,12,16,5,1,11,13,4,6,9,2,13,13,12,13,4,13,14,12,13,13,11,10,1,2,10,9,10,13,7,2
48,Grady Diangana,MC||AMR||AML,500000.0,167,20,1,2,5,1,17,11,10,3,3,12,8,10,5,6,1,4,6,5,8,15,1,7,18,5,11,9,11,3,5,5,2,10,11,12,8,1,14,11,6,10,11,12,9,2,3,11,7,8,14,8,1
56,Ryota Morioka,MC||AMR||AML,2600000.0,180,27,0,5,3,1,11,8,15,3,3,14,13,7,7,13,1,2,8,7,14,12,4,13,18,5,3,12,7,3,9,9,4,11,12,14,12,1,14,8,15,12,10,14,14,1,1,10,7,12,13,9,2
60,Sebastian Blanco,MC||AMR||AML,11000000.0,171,30,3,5,2,6,14,16,13,1,1,14,13,9,9,16,1,3,12,13,12,14,2,13,16,9,4,13,10,3,4,4,2,11,14,14,12,3,13,16,10,12,11,10,11,1,1,11,12,10,16,15,2
72,Dominick Drexler,MC||AML,3800000.0,182,28,3,5,2,0,13,10,16,1,3,15,14,6,9,13,2,2,8,13,14,11,2,15,12,6,6,12,8,3,9,9,2,10,15,15,13,2,14,10,14,12,10,11,14,1,4,9,10,13,14,10,1
75,Jaromir Zmrhal,MC||AML,14000000.0,189,24,1,2,5,18,16,14,9,2,1,10,14,9,11,13,3,4,11,12,15,17,1,15,14,9,10,17,10,1,13,10,1,15,11,13,9,4,7,15,8,11,15,9,8,1,2,6,12,11,15,5,3
83,Zakaria Labyad,MC||AMR||AML,3400000.0,173,25,3,5,2,0,13,10,15,2,1,15,11,4,10,13,3,2,7,13,14,13,2,13,12,3,8,14,7,3,5,5,3,14,16,15,12,1,14,10,13,12,14,11,14,1,1,12,9,13,14,13,1
