Id,Name,Positions,Value,Height,Age,Preferred Foot,Right Foot,Left Foot,Personality,Acc,Wor,Vis,Thr,Pun,Tec,Tea,Tck,Str,Sta,Rus,Ref,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer
4,Tony Nwakaeme,AMR||AML||STC,4200000.0,185,29,3,5,2,1,15,7,13,1,2,15,8,7,15,11,2,3,5,11,14,13,2,12,12,5,9,13,9,3,11,11,2,8,17,15,13,2,15,11,11,13,8,9,13,1,4,10,16,12,13,11,3
5,Junior Fernandes,AMR||AML||STC,4200000.0,184,29,3,5,2,1,16,7,12,2,3,14,10,6,13,9,1,2,5,10,13,14,3,15,10,5,14,12,3,3,12,12,3,8,14,15,13,4,15,12,12,12,9,12,14,3,3,16,12,8,15,12,4
12,Martin Terrier,AML||STC,1000000.0,184,20,3,5,2,1,14,12,12,3,3,14,14,5,11,13,3,3,8,9,13,14,3,14,13,5,4,9,7,2,10,7,4,9,12,14,12,2,13,12,11,11,10,11,13,3,1,13,12,14,14,8,1
13,Maxwel Cornet,AMR||AML||STC,1000000.0,180,21,1,4,5,1,16,13,11,1,2,12,12,5,12,14,1,1,9,10,12,16,3,14,15,5,3,9,5,3,10,10,1,11,12,12,13,3,12,14,9,11,12,9,9,1,3,12,12,11,13,8,2
16,Ahmed Musa,AMR||AML||STC,10000000.0,168,25,3,5,2,18,18,13,12,2,2,11,15,7,8,17,1,3,7,8,10,18,2,14,17,6,4,9,7,1,6,6,2,5,11,11,13,3,10,16,10,8,7,12,11,1,3,11,10,9,12,8,3
17,Dani Pacheco,AML||STC,10000000.0,168,27,3,5,4,1,14,12,14,1,3,16,9,4,5,14,3,2,6,13,15,14,4,12,12,8,5,13,4,1,7,4,2,16,16,16,15,2,16,10,10,14,11,8,12,3,3,8,18,14,14,9,3
19,Modou Barrow,AMR||AML||STC,4200000.0,176,25,1,4,5,1,17,8,9,3,3,11,9,5,7,11,2,1,5,10,10,18,3,12,13,5,4,10,7,1,6,4,2,7,17,12,12,2,14,10,10,11,9,10,12,4,1,9,13,9,13,11,1
21,Jurgen Locadia,AML||STC,1400000.0,185,24,3,5,4,1,13,11,13,3,3,13,10,4,15,13,3,3,5,14,10,13,3,14,12,4,12,11,7,4,14,11,2,15,14,13,13,2,13,11,12,7,11,9,11,3,4,12,13,14,14,13,1
23,Jonathan Bamba,AMR||AML||STC,4600000.0,175,22,3,5,1,1,16,12,10,3,2,13,9,4,12,14,3,3,7,10,11,15,2,14,14,4,7,12,7,1,6,5,3,8,11,12,10,4,14,10,10,11,11,11,12,1,3,11,14,12,14,12,1
29,Neeskens Kebano,MC||AMR||AML||STC,2200000.0,172,26,4,5,1,6,15,11,11,2,1,15,12,4,10,12,3,1,7,8,13,14,1,11,12,7,5,13,5,1,6,8,1,14,16,13,8,3,15,16,13,10,6,11,12,1,2,14,10,12,14,12,4
30,Ezequiel Cerutti,AMR||AML||STC,6000000.0,179,26,3,5,2,6,17,15,8,3,1,12,13,5,8,15,2,1,7,12,13,17,1,13,15,6,5,10,7,3,6,9,3,13,12,12,6,2,13,15,8,11,12,11,10,1,2,14,9,8,15,9,2
31,Andres Ibarguen,AML||STC,13000000.0,168,26,3,5,4,1,15,11,12,1,1,13,12,9,11,13,1,1,8,6,11,15,1,13,18,12,8,12,10,3,4,14,2,11,16,12,13,3,13,13,11,12,12,12,12,3,3,11,12,12,12,8,2
33,Darwin Machis,AMR||AML||STC,4200000.0,169,25,3,5,2,16,16,14,11,3,3,11,10,4,10,14,2,2,7,12,10,16,1,12,14,4,4,8,8,2,8,10,2,8,14,10,13,3,12,18,10,11,5,10,12,2,3,14,14,11,14,8,3
36,Maxime Lestienne,AMR||AML||STC,3000000.0,176,26,1,2,5,5,15,6,14,1,1,14,6,6,6,14,3,1,7,13,10,14,2,14,14,5,5,13,8,2,8,5,3,12,12,14,12,1,14,13,14,12,12,9,14,1,3,12,14,14,16,14,2
41,Abdoulay Diaby,AML||STC,6000000.0,172,27,1,1,5,5,17,12,6,1,1,15,12,6,11,11,3,3,8,14,8,17,3,13,12,5,5,10,5,3,5,8,1,10,14,13,12,1,14,14,11,10,10,12,14,1,2,14,11,11,15,10,1
42,Vinicius Junior,AML||STC,8000000.0,177,18,3,5,4,4,16,12,12,2,1,16,12,4,10,11,2,2,7,12,12,15,2,13,15,4,3,10,8,3,8,8,4,8,16,12,12,3,16,18,13,10,7,11,12,1,3,10,8,14,16,8,2
45,Ismaila Sarr,AMR||AML||STC,3800000.0,185,20,3,5,1,1,15,13,10,2,1,13,10,6,12,14,1,3,4,14,10,15,1,14,15,6,6,12,6,3,10,8,2,10,13,12,13,1,14,6,11,11,10,10,12,3,3,14,14,11,13,5,3
46,Maicon,AMR||AML||STC,3000000.0,183,28,3,5,2,6,15,13,13,1,1,13,13,8,9,12,1,3,9,12,12,15,2,14,14,5,8,6,9,2,11,10,2,7,12,12,11,3,12,15,12,10,7,12,11,3,1,10,12,11,12,13,3
47,Elvis Manu,AMR||AML||STC,3000000.0,175,24,3,5,2,6,15,13,8,1,3,12,10,4,15,12,3,1,7,12,11,16,2,13,15,4,6,10,4,3,7,7,2,7,14,11,11,1,14,15,8,10,9,9,10,3,3,12,13,9,15,13,3
58,Vitinho,AMR||AML||STC,10000000.0,180,24,0,5,3,1,15,9,12,1,4,15,10,9,10,13,2,2,7,10,12,14,1,13,14,7,7,14,3,1,9,5,1,12,15,14,12,2,14,10,10,12,12,10,12,3,3,5,11,10,15,10,3
63,Nordin Amrabat,AMR||AML||STC,10000000.0,179,31,3,5,4,6,16,14,12,2,3,14,8,7,13,14,1,3,9,15,12,15,1,13,16,7,8,9,5,3,7,7,1,11,14,13,6,2,16,17,7,10,11,12,8,2,1,12,12,6,15,14,2
64,Thievy Bifouma,AMR||AML||STC,2600000.0,180,26,3,5,1,1,15,12,11,3,2,12,7,6,13,14,1,1,5,12,8,16,1,15,16,4,5,10,8,2,10,6,2,7,15,9,11,2,15,13,10,11,9,7,10,4,3,13,15,10,16,12,2
76,Nemanja Radonjic,AMR||AML||STC,3000000.0,185,22,3,5,2,1,16,12,12,3,4,15,10,5,11,12,2,3,4,11,11,15,1,13,10,3,3,14,8,2,11,7,1,9,15,14,12,3,15,11,10,12,11,10,13,4,1,11,11,12,14,15,1
78,Casimir Ninga,AML||STC,3000000.0,186,25,4,5,1,18,16,11,8,1,3,10,10,4,15,17,1,3,7,10,9,17,2,13,10,4,5,13,7,1,12,11,1,5,13,10,14,4,13,15,8,10,5,9,12,3,2,14,15,11,13,13,1
