Game_Id,Date,Home_Team,Away_Team,Season,Home_Score,Away_Score,Overall_Power_Difference
1,2018-08-11,Arsenal,Man Utd,2018-2019,3,1,-2.4257
2,2018-08-11,Juventus,R. Madrid,2018-2019,2,1,-2.7351
3,2018-08-11,Chelsea,FC Bayern,2018-2019,0,2,-0.8147
4,2018-08-11,Barcelona,Liverpool,2018-2019,2,2,0.823
5,2018-08-18,Liverpool,Juventus,2018-2019,2,2,1.5216
6,2018-08-18,R. Madrid,Chelsea,2018-2019,1,3,0.256800000000002
7,2018-08-18,FC Bayern,Arsenal,2018-2019,2,3,2.6753
8,2018-08-18,Man Utd,Barcelona,2018-2019,2,3,0.2414
9,2018-09-15,Arsenal,R. Madrid,2018-2019,0,1,0.1008
10,2018-09-15,Barcelona,FC Bayern,2018-2019,1,1,0.167600000000001
11,2018-09-15,Man Utd,Liverpool,2018-2019,0,0,1.146
12,2018-09-15,Chelsea,Juventus,2018-2019,0,1,1.3681
13,2018-10-06,R. Madrid,Barcelona,2018-2019,0,1,-0.778199999999999
14,2018-10-06,Juventus,Arsenal,2018-2019,2,2,1.5806
15,2018-10-06,Liverpool,Chelsea,2018-2019,1,0,-0.0289
16,2018-10-06,FC Bayern,Man Utd,2018-2019,0,1,0.084700000000003
17,2018-11-03,Chelsea,Barcelona,2018-2019,1,2,0.8611
18,2018-11-03,R. Madrid,FC Bayern,2018-2019,1,1,-0.358300000000002
19,2018-11-03,Juventus,Man Utd,2018-2019,3,1,0.6548
20,2018-11-03,Liverpool,Arsenal,2018-2019,2,1,-0.208600000000001
21,2018-11-10,Arsenal,Chelsea,2018-2019,0,2,0.121899999999997
22,2018-11-10,Man Utd,R. Madrid,2018-2019,2,2,3.0065
23,2018-11-10,Barcelona,Juventus,2018-2019,3,0,-0.076299999999999
24,2018-11-10,FC Bayern,Liverpool,2018-2019,2,3,1.3785
25,2018-12-01,Man Utd,Chelsea,2018-2019,1,1,-2.7415
26,2018-12-01,Liverpool,R. Madrid,2018-2019,0,2,-1.1717
27,2018-12-01,FC Bayern,Juventus,2018-2019,1,2,0.963099999999999
28,2018-12-01,Barcelona,Arsenal,2018-2019,3,2,0.9482
29,2018-12-08,Liverpool,Barcelona,2018-2019,1,0,-2.3601
30,2018-12-08,R. Madrid,Juventus,2018-2019,2,0,-0.495699999999999
31,2018-12-08,FC Bayern,Chelsea,2018-2019,1,1,-1.0619
32,2018-12-08,Man Utd,Arsenal,2018-2019,0,0,-1.0343
33,2018-12-29,R. Madrid,Arsenal,2018-2019,1,0,-0.812800000000002
34,2018-12-29,Juventus,Chelsea,2018-2019,1,2,-1.1628
35,2018-12-29,Liverpool,Man Utd,2018-2019,0,1,1.7149
36,2018-12-29,FC Bayern,Barcelona,2018-2019,1,1,-1.1318
37,2019-01-05,Arsenal,FC Bayern,2018-2019,2,3,0.4314
38,2019-01-05,Barcelona,Man Utd,2018-2019,1,0,-1.8438
39,2019-01-05,Chelsea,R. Madrid,2018-2019,2,1,0.131
40,2019-01-05,Juventus,Liverpool,2018-2019,3,1,-0.766
41,2019-01-26,Arsenal,Juventus,2018-2019,4,0,-3.8843
42,2019-01-26,Barcelona,R. Madrid,2018-2019,3,2,-0.380100000000001
43,2019-01-26,Man Utd,FC Bayern,2018-2019,2,2,0.745399999999999
44,2019-01-26,Chelsea,Liverpool,2018-2019,1,2,0.948300000000001
45,2019-02-23,Arsenal,Liverpool,2018-2019,2,2,0.653000000000001
46,2019-02-23,Man Utd,Juventus,2018-2019,2,2,1.0317
47,2019-02-23,Barcelona,Chelsea,2018-2019,1,2,1.3065
48,2019-02-23,FC Bayern,R. Madrid,2018-2019,1,2,1.0376
49,2019-04-20,Chelsea,Arsenal,2018-2019,1,2,0.487899999999998
50,2019-04-20,R. Madrid,Man Utd,2018-2019,0,4,1.987
51,2019-04-20,Liverpool,FC Bayern,2018-2019,1,0,0.893599999999999
52,2019-04-20,Juventus,Barcelona,2018-2019,2,2,-0.976500000000001
53,2019-05-04,R. Madrid,Liverpool,2018-2019,2,1,1.704
54,2019-05-04,Arsenal,Barcelona,2018-2019,2,3,-1.4529
55,2019-05-04,Chelsea,Man Utd,2018-2019,1,2,-0.165600000000001
56,2019-05-04,Juventus,FC Bayern,2018-2019,2,1,-0.975199999999999
57,2019-08-10,FC Bayern,Man Utd,2019-2020,1,1,1.7252
58,2019-08-10,Arsenal,Barcelona,2019-2020,2,2,-2.1874
59,2019-08-10,Chelsea,R. Madrid,2019-2020,2,1,-1.503
60,2019-08-10,Juventus,Liverpool,2019-2020,1,1,-1.6558
61,2019-08-17,Barcelona,FC Bayern,2019-2020,0,3,0.9746
62,2019-08-17,Man Utd,Juventus,2019-2020,2,2,1.0446
63,2019-08-17,R. Madrid,Arsenal,2019-2020,3,2,0.353
64,2019-08-17,Liverpool,Chelsea,2019-2020,2,0,-0.873799999999999
65,2019-09-14,Chelsea,Juventus,2019-2020,0,2,-0.732499999999999
66,2019-09-14,FC Bayern,R. Madrid,2019-2020,2,2,0.174
67,2019-09-14,Arsenal,Liverpool,2019-2020,1,1,-0.112399999999998
68,2019-09-14,Barcelona,Man Utd,2019-2020,1,1,-0.166899999999999
69,2019-10-05,Liverpool,FC Bayern,2019-2020,1,1,-0.249099999999999
70,2019-10-05,Juventus,Arsenal,2019-2020,0,3,1.6777
71,2019-10-05,R. Madrid,Barcelona,2019-2020,2,2,0.8487
72,2019-10-05,Man Utd,Chelsea,2019-2020,1,0,1.1769
73,2019-11-02,R. Madrid,Man Utd,2019-2020,3,0,0.291399999999999
74,2019-11-02,Arsenal,Chelsea,2019-2020,2,1,-0.583600000000002
75,2019-11-02,FC Bayern,Juventus,2019-2020,0,1,0.961899999999999
76,2019-11-02,Barcelona,Liverpool,2019-2020,2,1,1.0388
77,2019-11-09,Chelsea,FC Bayern,2019-2020,2,3,-1.3502
78,2019-11-09,Man Utd,Arsenal,2019-2020,1,1,3.6711
79,2019-11-09,Liverpool,R. Madrid,2019-2020,2,1,0.502100000000001
80,2019-11-09,Juventus,Barcelona,2019-2020,3,1,-0.8853
81,2019-11-30,Man Utd,Liverpool,2019-2020,0,4,2.1412
82,2019-11-30,FC Bayern,Arsenal,2019-2020,2,1,-0.543799999999999
83,2019-11-30,R. Madrid,Juventus,2019-2020,2,1,1.9511
84,2019-11-30,Barcelona,Chelsea,2019-2020,1,3,1.6745
85,2019-12-07,Man Utd,FC Bayern,2019-2020,3,1,-0.6967
86,2019-12-07,Barcelona,Arsenal,2019-2020,3,0,1.4208
87,2019-12-07,R. Madrid,Chelsea,2019-2020,2,2,-0.947699999999998
88,2019-12-07,Liverpool,Juventus,2019-2020,0,1,1.731
89,2019-12-28,Arsenal,R. Madrid,2019-2020,1,2,-1.0663
90,2019-12-28,Juventus,Man Utd,2019-2020,1,3,0.3101
91,2019-12-28,Chelsea,Liverpool,2019-2020,0,1,1.6499
92,2019-12-28,FC Bayern,Barcelona,2019-2020,0,0,-1.2666
93,2020-01-04,R. Madrid,FC Bayern,2019-2020,2,1,1.8574
94,2020-01-04,Liverpool,Arsenal,2019-2020,1,1,1.1646
95,2020-01-04,Juventus,Chelsea,2019-2020,2,0,-0.919399999999998
96,2020-01-04,Man Utd,Barcelona,2019-2020,1,2,2.0635
97,2020-01-25,FC Bayern,Liverpool,2019-2020,1,1,0.081600000000001
98,2020-01-25,Chelsea,Man Utd,2019-2020,0,2,0.477
99,2020-01-25,Barcelona,R. Madrid,2019-2020,1,2,1.0568
100,2020-01-25,Arsenal,Juventus,2019-2020,0,0,-3.0021
101,2020-02-22,Juventus,FC Bayern,2019-2020,1,2,1.1935
102,2020-02-22,Liverpool,Barcelona,2019-2020,0,2,-0.9578
103,2020-02-22,Man Utd,R. Madrid,2019-2020,3,1,-0.290200000000001
104,2020-02-22,Chelsea,Arsenal,2019-2020,3,2,1.8124
105,2020-04-18,Chelsea,Barcelona,2019-2020,2,2,0.789800000000002
106,2020-04-18,Arsenal,FC Bayern,2019-2020,2,0,-0.2094
107,2020-04-18,Liverpool,Man Utd,2019-2020,3,0,1.9267
108,2020-04-18,Juventus,R. Madrid,2019-2020,1,2,-1.1486
109,2020-05-02,Barcelona,Juventus,2019-2020,0,1,1.6192
110,2020-05-02,Arsenal,Man Utd,2019-2020,2,1,-1.9973
111,2020-05-02,R. Madrid,Liverpool,2019-2020,2,1,-0.809499999999999
112,2020-05-02,FC Bayern,Chelsea,2019-2020,0,1,0.2818
113,2020-08-08,Arsenal,Chelsea,2020-2021,1,1,-0.5477
114,2020-08-08,Liverpool,R. Madrid,2020-2021,2,1,0.715899999999999
115,2020-08-08,FC Bayern,Barcelona,2020-2021,1,2,0.550199999999998
116,2020-08-08,Juventus,Man Utd,2020-2021,1,1,0.425599999999999
117,2020-08-15,Barcelona,Juventus,2020-2021,1,3,1.2436
118,2020-08-15,Chelsea,FC Bayern,2020-2021,4,1,-0.746
119,2020-08-15,R. Madrid,Arsenal,2020-2021,2,0,-1.2622
120,2020-08-15,Man Utd,Liverpool,2020-2021,2,2,2.0442
121,2020-09-12,Liverpool,Barcelona,2020-2021,2,0,-0.5579
122,2020-09-12,Man Utd,R. Madrid,2020-2021,0,1,-0.491800000000001
123,2020-09-12,Juventus,Chelsea,2020-2021,2,1,0.6998
124,2020-09-12,FC Bayern,Arsenal,2020-2021,3,1,0.6895
125,2020-10-03,Barcelona,Man Utd,2020-2021,1,0,0.290200000000001
126,2020-10-03,Arsenal,Juventus,2020-2021,1,1,-2.254
127,2020-10-03,R. Madrid,FC Bayern,2020-2021,2,0,0.230399999999999
128,2020-10-03,Chelsea,Liverpool,2020-2021,1,1,-0.098299999999998
129,2020-10-31,Juventus,FC Bayern,2020-2021,1,0,-1.2212
130,2020-10-31,Man Utd,Chelsea,2020-2021,3,0,-2.9367
131,2020-10-31,Barcelona,R. Madrid,2020-2021,2,1,0.064200000000001
132,2020-10-31,Liverpool,Arsenal,2020-2021,1,3,0.154799999999998
133,2020-11-07,R. Madrid,Juventus,2020-2021,2,1,-2.0404
134,2020-11-07,Arsenal,Man Utd,2020-2021,2,2,0.3576
135,2020-11-07,Chelsea,Barcelona,2020-2021,3,1,0.6246
136,2020-11-07,FC Bayern,Liverpool,2020-2021,1,0,1.8465
137,2020-11-28,Barcelona,Arsenal,2020-2021,2,0,0.106500000000002
138,2020-11-28,R. Madrid,Chelsea,2020-2021,3,1,0.837800000000001
139,2020-11-28,Man Utd,FC Bayern,2020-2021,3,0,2.1059
140,2020-11-28,Liverpool,Juventus,2020-2021,1,1,-0.315300000000001
141,2020-12-05,Man Utd,Juventus,2020-2021,3,0,-1.0972
142,2020-12-05,Chelsea,Arsenal,2020-2021,1,2,0.609900000000001
143,2020-12-05,Barcelona,FC Bayern,2020-2021,2,2,-0.294699999999998
144,2020-12-05,R. Madrid,Liverpool,2020-2021,1,1,1.5223
145,2020-12-26,FC Bayern,Chelsea,2020-2021,0,2,1.3052
146,2020-12-26,Liverpool,Man Utd,2020-2021,3,0,2.3318
147,2020-12-26,Juventus,Barcelona,2020-2021,0,0,0.729299999999999
148,2020-12-26,Arsenal,R. Madrid,2020-2021,3,2,1.6185
149,2021-01-02,Barcelona,Liverpool,2020-2021,2,0,-0.9445
150,2021-01-02,Chelsea,Juventus,2020-2021,1,1,0.780699999999999
151,2021-01-02,R. Madrid,Man Utd,2020-2021,2,2,1.9806
152,2021-01-02,Arsenal,FC Bayern,2020-2021,1,1,-0.581000000000002
153,2021-01-23,Juventus,Arsenal,2020-2021,3,0,-0.949599999999999
154,2021-01-23,FC Bayern,R. Madrid,2020-2021,1,2,1.6963
155,2021-01-23,Man Utd,Barcelona,2020-2021,3,1,0.1932
156,2021-01-23,Liverpool,Chelsea,2020-2021,1,1,-2.075
157,2021-02-20,Juventus,R. Madrid,2020-2021,2,1,-0.128999999999998
158,2021-02-20,Man Utd,Arsenal,2020-2021,0,3,-1.1166
159,2021-02-20,Barcelona,Chelsea,2020-2021,3,0,-0.403200000000001
160,2021-02-20,Liverpool,FC Bayern,2020-2021,2,1,0.324200000000001
161,2021-04-17,FC Bayern,Juventus,2020-2021,2,2,3.569
162,2021-04-17,Arsenal,Liverpool,2020-2021,1,1,-0.3216
163,2021-04-17,R. Madrid,Barcelona,2020-2021,1,2,0.0565
164,2021-04-17,Chelsea,Man Utd,2020-2021,1,1,0.2273
165,2021-05-01,Arsenal,Barcelona,2020-2021,1,1,1.1043
166,2021-05-01,Chelsea,R. Madrid,2020-2021,0,2,1.5993
167,2021-05-01,Juventus,Liverpool,2020-2021,0,1,0.594700000000001
168,2021-05-01,FC Bayern,Man Utd,2020-2021,2,3,1.2032
169,2021-08-07,Arsenal,Man Utd,2021-2022,1,0,1.7989
170,2021-08-07,Barcelona,Chelsea,2021-2022,2,3,1.0151
171,2021-08-07,FC Bayern,Liverpool,2021-2022,2,1,-1.0202
172,2021-08-07,R. Madrid,Juventus,2021-2022,3,1,-1.4484
173,2021-08-14,Man Utd,FC Bayern,2021-2022,2,2,0.452
174,2021-08-14,Chelsea,R. Madrid,2021-2022,1,1,-0.161199999999999
175,2021-08-14,Liverpool,Barcelona,2021-2022,2,1,0.1207
176,2021-08-14,Juventus,Arsenal,2021-2022,2,2,0.3974
177,2021-09-11,Man Utd,Liverpool,2021-2022,2,1,-1.9678
178,2021-09-11,FC Bayern,Juventus,2021-2022,3,0,-0.6414
179,2021-09-11,Arsenal,Chelsea,2021-2022,1,2,0.0759
180,2021-09-11,R. Madrid,Barcelona,2021-2022,2,2,2.1232
181,2021-10-02,Juventus,Liverpool,2021-2022,1,3,0.217
182,2021-10-02,Arsenal,R. Madrid,2021-2022,0,3,2.1476
183,2021-10-02,Man Utd,Chelsea,2021-2022,0,1,0.441800000000001
184,2021-10-02,FC Bayern,Barcelona,2021-2022,2,3,1.2539
185,2021-10-30,Juventus,Man Utd,2021-2022,0,2,1.0208
186,2021-10-30,Liverpool,R. Madrid,2021-2022,1,1,-0.4206
187,2021-10-30,Barcelona,Arsenal,2021-2022,0,1,0.935399999999998
188,2021-10-30,Chelsea,FC Bayern,2021-2022,0,1,1.7232
189,2021-11-06,Barcelona,Man Utd,2021-2022,4,1,-1.3624
190,2021-11-06,Liverpool,Arsenal,2021-2022,2,1,-1.5159
191,2021-11-06,Chelsea,Juventus,2021-2022,3,1,-1.2988
192,2021-11-06,R. Madrid,FC Bayern,2021-2022,3,2,-0.947
193,2021-11-27,Man Utd,R. Madrid,2021-2022,1,2,0.2304
194,2021-11-27,FC Bayern,Arsenal,2021-2022,1,0,0.136100000000002
