Game_Id,Date,Home_Team,Away_Team,Season,Home_Score,Away_Score
1,2018-08-11,Arsenal,Man Utd,2018-2019,3,1
2,2018-08-11,Juventus,R. Madrid,2018-2019,2,1
3,2018-08-11,Chelsea,FC Bayern,2018-2019,0,2
4,2018-08-11,Barcelona,Liverpool,2018-2019,2,2
5,2018-08-18,Liverpool,Juventus,2018-2019,2,2
6,2018-08-18,R. Madrid,Chelsea,2018-2019,1,3
7,2018-08-18,FC Bayern,Arsenal,2018-2019,2,3
8,2018-08-18,Man Utd,Barcelona,2018-2019,2,3
9,2018-09-15,Arsenal,R. Madrid,2018-2019,0,1
10,2018-09-15,Barcelona,FC Bayern,2018-2019,1,1
11,2018-09-15,Man Utd,Liverpool,2018-2019,0,0
12,2018-09-15,Chelsea,Juventus,2018-2019,0,1
13,2018-10-06,R. Madrid,Barcelona,2018-2019,0,1
14,2018-10-06,Juventus,Arsenal,2018-2019,2,2
15,2018-10-06,Liverpool,Chelsea,2018-2019,1,0
16,2018-10-06,FC Bayern,Man Utd,2018-2019,0,1
17,2018-11-03,Chelsea,Barcelona,2018-2019,1,2
18,2018-11-03,R. Madrid,FC Bayern,2018-2019,1,1
19,2018-11-03,Juventus,Man Utd,2018-2019,3,1
20,2018-11-03,Liverpool,Arsenal,2018-2019,2,1
21,2018-11-10,Arsenal,Chelsea,2018-2019,0,2
22,2018-11-10,Man Utd,R. Madrid,2018-2019,2,2
23,2018-11-10,Barcelona,Juventus,2018-2019,3,0
24,2018-11-10,FC Bayern,Liverpool,2018-2019,2,3
25,2018-12-01,Man Utd,Chelsea,2018-2019,1,1
26,2018-12-01,Liverpool,R. Madrid,2018-2019,0,2
27,2018-12-01,FC Bayern,Juventus,2018-2019,1,2
28,2018-12-01,Barcelona,Arsenal,2018-2019,3,2
29,2018-12-08,Liverpool,Barcelona,2018-2019,1,0
30,2018-12-08,R. Madrid,Juventus,2018-2019,2,0
31,2018-12-08,FC Bayern,Chelsea,2018-2019,1,1
32,2018-12-08,Man Utd,Arsenal,2018-2019,0,0
33,2018-12-29,R. Madrid,Arsenal,2018-2019,1,0
34,2018-12-29,Juventus,Chelsea,2018-2019,1,2
35,2018-12-29,Liverpool,Man Utd,2018-2019,0,1
36,2018-12-29,FC Bayern,Barcelona,2018-2019,1,1
37,2019-01-05,Arsenal,FC Bayern,2018-2019,2,3
